,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
17,TCS,EQ,28-Mar-2019,1967.9,1980.0,2014.6,1972.8,2004.45,2000.3,1993.96,4054489,8084506923.2,144600,2150827,53.05
231,TCS,EQ,10-Feb-2020,2136.55,2140.9,2167.0,2119.0,2153.1,2161.95,2149.9,2383032,5123271169.05,88969,1298489,54.49
102,TCS,EQ,01-Aug-2019,2205.7,2200.0,2217.5,2166.25,2178.3,2180.05,2195.1,2375236,5213870562.9,175166,1115202,46.95
66,TCS,EQ,12-Jun-2019,2252.8,2245.0,2266.9,2219.0,2264.0,2260.9,2241.29,2404448,5389074309.45,141774,1036077,43.09
36,TCS,EQ,26-Apr-2019,2195.0,2203.0,2243.95,2193.15,2231.1,2238.55,2225.36,2716958,6046198155.6,110079,1175323,43.26
194,TCS,EQ,19-Dec-2019,2167.75,2179.8,2236.5,2167.55,2231.7,2229.05,2202.61,6251505,13769608434.5,181580,2570929,41.12
58,TCS,EQ,30-May-2019,2107.55,2123.0,2156.55,2114.4,2146.3,2146.3,2142.62,4971725,10652535237.95,150672,2210404,44.46
154,TCS,EQ,23-Oct-2019,2051.4,2060.0,2083.85,2052.5,2082.0,2070.1,2068.82,2348134,4857858827.9,204587,1352785,57.61
208,TCS,EQ,09-Jan-2020,2255.25,2248.75,2251.95,2210.0,2220.0,2214.35,2223.77,3734173,8303924064.05,134309,1805834,48.36
212,TCS,EQ,15-Jan-2020,2206.9,2213.0,2231.0,2194.2,2225.05,2226.9,2212.65,2620681,5798644641.7,114594,1513859,57.77
111,TCS,EQ,16-Aug-2019,2204.4,2241.4,2241.4,2143.25,2162.0,2165.1,2173.77,3755507,8163597623.6,191781,2121016,56.48
133,TCS,EQ,19-Sep-2019,2138.55,2135.0,2135.8,2091.0,2096.9,2101.95,2103.74,1652691,3476827643.5,101537,791932,47.92
90,TCS,EQ,16-Jul-2019,2145.7,2126.0,2132.5,2100.0,2105.0,2106.0,2108.89,2735399,5768652609.95,182859,1518786,55.52
193,TCS,EQ,18-Dec-2019,2164.95,2174.0,2203.45,2153.0,2166.8,2167.75,2182.48,8251081,18007821655.85,198563,4520690,54.79
57,TCS,EQ,29-May-2019,2073.75,2080.0,2123.7,2077.1,2114.2,2107.55,2109.46,3281320,6921811131.4,177202,1508313,45.97
163,TCS,EQ,05-Nov-2019,2193.95,2197.0,2211.0,2169.0,2198.0,2201.85,2187.98,2693475,5893271236.75,136536,1572121,58.37
204,TCS,EQ,03-Jan-2020,2157.65,2164.0,2223.0,2164.0,2201.0,2200.65,2199.26,4655761,10239206390.2,123516,1833823,39.39
6,TCS,EQ,13-Mar-2019,2012.45,2013.0,2015.9,1978.6,1995.0,2000.5,2001.12,1833163,3668374639.65,112785,821473,44.81
53,TCS,EQ,23-May-2019,2081.75,2098.0,2115.35,2050.0,2057.0,2054.05,2071.74,2541294,5264898713.65,122224,1169296,46.01
240,TCS,EQ,24-Feb-2020,2156.8,2156.0,2178.95,2106.7,2112.0,2115.35,2152.36,3092877,6656983182.25,120347,1871186,60.5
183,TCS,EQ,04-Dec-2019,2051.0,2053.0,2082.0,2045.5,2077.0,2078.5,2067.16,3334301,6892536517.65,108026,2056925,61.69
46,TCS,EQ,14-May-2019,2128.75,2135.0,2159.8,2072.35,2095.8,2092.35,2101.14,2456110,5160632655.8,118567,926566,37.72
141,TCS,EQ,01-Oct-2019,2099.3,2095.95,2095.95,2039.7,2060.3,2059.95,2059.04,3342877,6883109000.95,170294,2098408,62.77
190,TCS,EQ,13-Dec-2019,2020.9,2023.0,2077.4,2007.0,2070.0,2071.25,2050.09,5711133,11708334592.1,173478,2245573,39.32
76,TCS,EQ,26-Jun-2019,2267.8,2265.0,2266.8,2250.0,2253.05,2254.2,2259.22,1762224,3981246151.75,94030,931941,52.88
27,TCS,EQ,11-Apr-2019,2040.25,2045.0,2055.0,2013.65,2025.0,2019.5,2028.47,3422442,6942308979.4,133153,1568180,45.82
115,TCS,EQ,22-Aug-2019,2186.2,2187.0,2235.65,2170.0,2210.0,2216.0,2213.54,2131601,4718387345.95,106338,923535,43.33
74,TCS,EQ,24-Jun-2019,2249.85,2254.15,2280.0,2250.8,2277.0,2275.5,2267.8,1382424,3135065458.9,78153,528471,38.23
199,TCS,EQ,27-Dec-2019,2201.95,2208.0,2226.4,2176.0,2209.9,2198.5,2192.11,2720261,5963118728.7,93892,1285882,47.27
233,TCS,EQ,12-Feb-2020,2153.4,2151.1,2185.0,2150.0,2173.1,2170.75,2173.56,1620407,3522057735.3,98406,791500,48.85
178,TCS,EQ,27-Nov-2019,2046.65,2052.0,2071.7,2046.55,2055.0,2054.3,2060.49,2907521,5990929718.65,108988,2020463,69.49
42,TCS,EQ,08-May-2019,2151.95,2151.0,2168.0,2130.4,2156.0,2152.85,2151.85,1824895,3926902424.6,77713,781526,42.83
116,TCS,EQ,23-Aug-2019,2216.0,2214.95,2259.9,2213.9,2250.0,2247.7,2244.15,2826425,6342931919.75,142446,1480086,52.37
